시도명,시군구명,도로위계,도로명,종속구분,연장,폭
부산광역시,중구,길,망양로331번길,주도로,51,3
부산광역시,중구,길,망양로332번길,주도로,66,4
부산광역시,중구,길,망양로335번길,주도로,66,3
부산광역시,중구,길,망양로336번길,주도로,41,2
부산광역시,중구,길,망양로337번길,주도로,66,3
부산광역시,중구,길,망양로341번길,주도로,77,3
부산광역시,중구,길,망양로342번길,주도로,81,3
부산광역시,중구,길,망양로344번길,주도로,61,3
부산광역시,중구,길,망양로350번길,주도로,105,4
부산광역시,중구,길,망양로355번길,주도로,384,6
부산광역시,중구,길,망양로358번길,주도로,75,6
부산광역시,중구,길,망양로361번길,주도로,80,2
부산광역시,중구,길,망양로363번길,주도로,73,3
부산광역시,중구,길,망양로365번길,주도로,73,2
부산광역시,중구,길,망양로366번길,주도로,42,4
부산광역시,중구,길,망양로369번길,주도로,69,3
부산광역시,중구,길,망양로372번길,주도로,51,3
부산광역시,중구,길,망양로383번길,주도로,91,9
부산광역시,중구,길,망양로383번안길,주도로,502,6
부산광역시,중구,길,민주공원길,주도로,600,8
부산광역시,중구,길,배수지길,주도로,450,6
부산광역시,중구,길,백산길,주도로,203,8
부산광역시,중구,길,법수길,주도로,422,7
부산광역시,중구,길,법수길24번길,주도로,58,3
부산광역시,중구,길,법수길24번안길,주도로,49,2
부산광역시,중구,길,법수길38번길,주도로,46,2
부산광역시,중구,길,법수길50번길,주도로,58,4
부산광역시,중구,길,법수길63번길,주도로,63,2
부산광역시,중구,길,법수길76번길,주도로,52,5
부산광역시,중구,길,보동길,주도로,1860,6
부산광역시,중구,길,보동길112번길,주도로,57,2
부산광역시,중구,길,보동길20번길,주도로,47,4
부산광역시,중구,길,보동길26번길,주도로,43,5
부산광역시,중구,길,보동길32번길,주도로,29,2
부산광역시,중구,길,보동길44번길,주도로,64,4
부산광역시,중구,길,보동길82번길,주도로,44,1
부산광역시,중구,길,보동길84번길,주도로,42,2
부산광역시,중구,대로,보수대로,주도로,5540,50
부산광역시,중구,길,보수대로106번길,주도로,220,8
부산광역시,중구,길,보수대로118번길,주도로,357,8
부산광역시,중구,길,보수대로124번길,주도로,409,8
부산광역시,중구,길,보수대로140번길,주도로,446,7
부산광역시,중구,길,보수대로140번안길,주도로,68,3
부산광역시,중구,길,보수대로142번길,주도로,101,2
부산광역시,중구,길,보수대로144번길,주도로,225,4
부산광역시,중구,길,보수대로146번길,주도로,132,2
부산광역시,중구,길,보수대로24번길,주도로,131,8
부산광역시,중구,길,보수대로36번길,주도로,354,8
부산광역시,중구,길,보수대로44번길,주도로,299,8
부산광역시,중구,길,보수대로56번길,주도로,212,8
부산광역시,중구,길,보수대로64번길,주도로,173,8
부산광역시,중구,길,보수북길,주도로,388,6
부산광역시,중구,길,보수북길27번길,주도로,15,3
부산광역시,중구,길,보수북길31번길,주도로,44,4
부산광역시,중구,길,보수북길59번길,주도로,62,2
부산광역시,중구,길,복병산길,주도로,375,4
부산광역시,중구,길,복병산길32번길,주도로,98,3
부산광역시,중구,길,복병산길3번길,주도로,117,3
부산광역시,중구,길,복병산길6번길,주도로,164,5
부산광역시,중구,길,복병산길7번길,주도로,232,6
부산광역시,중구,길,부평1길,주도로,398,8
부산광역시,중구,길,부평2길,주도로,398,8
부산광역시,중구,길,부평3길,주도로,95,8
부산광역시,중구,로,비프광장로,주도로,405,15
부산광역시,중구,길,샘길,주도로,310,6
부산광역시,중구,길,샘길30번길,주도로,65,2
부산광역시,중구,길,샘길44번길,주도로,25,3
부산광역시,중구,로,영주로,주도로,1072,12
부산광역시,중구,길,영주로11번길,주도로,96,6
부산광역시,중구,길,영주로12번길,주도로,325,6
부산광역시,중구,길,영주로24번길,주도로,51,4
부산광역시,중구,길,영주로32번길,주도로,105,4
부산광역시,중구,길,영주로42번길,주도로,109,3
부산광역시,중구,길,영주로54번길,주도로,145,4
부산광역시,중구,길,영주로6번길,주도로,78,4
부산광역시,중구,길,영주로6번안길,주도로,86,4
부산광역시,중구,길,영주로78번길,주도로,107,4
부산광역시,중구,길,영주로84번길,주도로,59,2
부산광역시,중구,길,영주로88번길,주도로,111,2
부산광역시,중구,길,영초길,주도로,1230,6
부산광역시,중구,길,영초길14번길,주도로,92,4
부산광역시,중구,길,용두산길,주도로,561,7
부산광역시,중구,길,용미길,주도로,114,8
부산광역시,중구,길,용미길10번길,주도로,107,5
부산광역시,중구,길,용미길7번길,주도로,70,6
부산광역시,중구,길,용미길8번길,주도로,93,7
부산광역시,중구,길,용미길9번길,주도로,80,7
부산광역시,중구,대로,이순신대로,주도로,2302,40
부산광역시,중구,길,이순신대로107번길,주도로,235,33
부산광역시,중구,길,임소길,주도로,173,6
부산광역시,중구,길,임소길15번길,주도로,126,4
부산광역시,중구,길,임소길16번길,주도로,72,5
부산광역시,중구,길,임소길18번길,주도로,55,4
부산광역시,중구,길,임소길7번길,주도로,56,4
부산광역시,중구,로,자갈치로,주도로,810,14
부산광역시,중구,길,자갈치로15번길,주도로,87,10
부산광역시,중구,길,자갈치로16번길,주도로,62,9
부산광역시,중구,길,자갈치로23번길,주도로,89,11
부산광역시,중구,길,자갈치로24번길,주도로,62,11
부산광역시,중구,길,자갈치로37번길,주도로,74,11
부산광역시,중구,길,자갈치로38번길,주도로,62,11
부산광역시,중구,길,자갈치로47번길,주도로,88,11
부산광역시,중구,길,자갈치로48번길,주도로,61,11
부산광역시,중구,길,자갈치로59번길,주도로,65,11
부산광역시,중구,길,자갈치로60번길,주도로,62,11
부산광역시,중구,로,자갈치해안로,주도로,862,12
부산광역시,중구,로,중구로,주도로,1942,20
부산광역시,중구,길,중구로111번길,주도로,73,7
부산광역시,중구,길,중구로111번안길,주도로,111,6
부산광역시,중구,길,중구로130번길,주도로,55,2
부산광역시,중구,길,중구로143번길,주도로,77,4
부산광역시,중구,길,중구로148번길,주도로,123,6
부산광역시,중구,길,중구로156번길,주도로,91,4
부산광역시,중구,길,중구로169번길,주도로,91,4
부산광역시,중구,길,중구로171번길,주도로,94,5
부산광역시,중구,길,중구로172번길,주도로,187,4
부산광역시,중구,길,중구로179번길,주도로,76,2
부산광역시,중구,길,중구로181번길,주도로,97,4
부산광역시,중구,길,중구로185번길,주도로,75,2
부산광역시,중구,길,중구로188번길,주도로,229,8
부산광역시,중구,길,중구로21번길,주도로,119,3
부산광역시,중구,길,중구로23번길,주도로,245,8
부산광역시,중구,길,중구로24번길,주도로,237,6
부산광역시,중구,길,중구로29번길,주도로,246,8
부산광역시,중구,길,중구로30번길,주도로,276,6
부산광역시,중구,길,중구로33번길,주도로,242,8
부산광역시,중구,길,중구로34번길,주도로,222,6
부산광역시,중구,길,중구로39번길,주도로,238,8
부산광역시,중구,길,중구로40번길,주도로,217,6
부산광역시,중구,길,중구로43번길,주도로,226,8
부산광역시,중구,길,중구로44번길,주도로,212,6
부산광역시,중구,길,중구로47번길,주도로,225,8
부산광역시,중구,길,중구로48번길,주도로,112,6
부산광역시,중구,길,중구로53번길,주도로,236,8
부산광역시,중구,길,중구로54번길,주도로,45,7
부산광역시,중구,길,중구로5번길,주도로,146,5
부산광역시,중구,길,중구로62번길,주도로,156,4
부산광역시,중구,길,중구로65번길,주도로,190,2
부산광역시,중구,길,중구로6번길,주도로,82,5
부산광역시,중구,길,중구로75번길,주도로,284,6
부산광역시,중구,길,중구로75번안길,주도로,149,3
부산광역시,중구,길,중구로91번길,주도로,155,4
부산광역시,중구,길,중구로91번안길,주도로,96,4
부산광역시,중구,길,중구로97번길,주도로,135,7
부산광역시,중구,길,중동길,주도로,370,4
부산광역시,중구,로,중앙공원로,주도로,1180,12
부산광역시,중구,대로,중앙대로,주도로,25900,35
부산광역시,중구,길,중앙대로115번길,주도로,71,3
부산광역시,중구,길,중앙대로116번길,주도로,166,8
부산광역시,중구,길,중앙대로132번길,주도로,144,10
부산광역시,중구,길,중앙대로147번길,주도로,79,9
부산광역시,중구,길,중앙대로148번길,주도로,154,8
부산광역시,중구,길,중앙대로20번길,주도로,101,11
부산광역시,중구,길,중앙대로29번길,주도로,130,12
부산광역시,중구,길,중앙대로30번길,주도로,74,15
부산광역시,중구,길,중앙대로41번길,주도로,329,9
부산광역시,중구,길,중앙대로42번길,주도로,93,10
부산광역시,중구,길,중앙대로46번길,주도로,74,9
부산광역시,중구,길,중앙대로49번길,주도로,170,6
부산광역시,중구,길,중앙대로68번길,주도로,74,8
부산광역시,중구,길,중앙대로81번길,주도로,107,15
부산광역시,중구,길,중앙대로93번길,주도로,61,12
부산광역시,중구,길,중앙대로98번길,주도로,181,8
부산광역시,중구,길,책방골목길,주도로,221,4
부산광역시,중구,로,초량상로,주도로,1608,10
부산광역시,중구,길,초량상로12번길,주도로,59,3
부산광역시,중구,길,초량상로16번길,주도로,68,3
부산광역시,중구,길,초량상로5번길,주도로,154,8
부산광역시,중구,길,초량상로7번길,주도로,319,6
부산광역시,중구,로,초량중로,주도로,1400,12
부산광역시,중구,길,초량중로5번길,주도로,76,5
부산광역시,중구,길,초량중로6번길,주도로,102,7
부산광역시,중구,대로,충장대로,주도로,3400,50
부산광역시,중구,길,충장대로13번길,주도로,696,8
부산광역시,중구,길,충장대로4번길,주도로,164,5
부산광역시,중구,길,충장대로5번길,주도로,719,10
부산광역시,중구,길,충장대로9번길,주도로,697,8
부산광역시,중구,로,태종로,주도로,11400,25
부산광역시,중구,로,해관로,주도로,939,15
부산광역시,중구,길,해관로85번길,주도로,67,3
부산광역시,중구,로,흑교로,주도로,1070,24
부산광역시,중구,길,흑교로11번길,주도로,117,8
부산광역시,중구,길,흑교로17번길,주도로,196,8
부산광역시,중구,길,흑교로21번길,주도로,268,8
부산광역시,중구,길,흑교로25번길,주도로,320,8
부산광역시,중구,길,흑교로31번길,주도로,344,8
부산광역시,중구,길,흑교로35번길,주도로,338,8
부산광역시,중구,길,흑교로45번길,주도로,338,8
부산광역시,중구,길,흑교로46번길,주도로,113,7
부산광역시,중구,길,흑교로51번길,주도로,104,8
부산광역시,중구,길,흑교로52번길,주도로,58,6
부산광역시,중구,길,흑교로59번길,주도로,196,8
부산광역시,중구,길,흑교로60번길,주도로,61,6
부산광역시,중구,길,흑교로64번길,주도로,66,4
부산광역시,중구,길,흑교로67번길,주도로,284,8
부산광역시,중구,길,흑교로71번길,주도로,257,8
부산광역시,중구,길,흑교로75번길,주도로,239,8
부산광역시,중구,길,흑교로78번길,주도로,169,6
부산광역시,중구,길,흑교로78번안길,주도로,239,4
부산광역시,중구,길,흑교로81번길,주도로,190,8
부산광역시,중구,길,흑교로87번길,주도로,119,8
부산광역시,서구,로,감천로,주도로,2909,25
부산광역시,서구,길,감천로255번길,주도로,141,4
부산광역시,서구,길,감천로291번길,주도로,202,2
부산광역시,서구,로,고운들로,주도로,1035,6
부산광역시,서구,길,고운들로139번길,주도로,292,7
부산광역시,서구,길,고운들로153번길,주도로,201,4
부산광역시,서구,길,고운들로198번길,주도로,127,4
부산광역시,서구,길,고운들로35번길,주도로,284,5
부산광역시,서구,로,구덕로,주도로,3450,35
부산광역시,서구,길,구덕로114번길,주도로,191,7
부산광역시,서구,길,구덕로118번길,주도로,213,12
부산광역시,서구,길,구덕로119번길,주도로,381,6
부산광역시,서구,길,구덕로120번길,주도로,335,9
부산광역시,서구,길,구덕로124번길,주도로,332,8
부산광역시,서구,길,구덕로132번길,주도로,144,7
부산광역시,서구,길,구덕로134번길,주도로,302,9
부산광역시,서구,길,구덕로142번길,주도로,203,10
부산광역시,서구,길,구덕로143번길,주도로,238,8
부산광역시,서구,길,구덕로148번길,주도로,395,8
부산광역시,서구,길,구덕로150번길,주도로,186,8
부산광역시,서구,길,구덕로151번길,주도로,184,6
부산광역시,서구,길,구덕로157번길,주도로,181,9
부산광역시,서구,길,구덕로163번길,주도로,180,8
부산광역시,서구,길,구덕로165번길,주도로,184,7
부산광역시,서구,길,구덕로185번길,주도로,300,8
부산광역시,서구,길,구덕로186번길,주도로,237,8
부산광역시,서구,길,구덕로193번길,주도로,307,8
부산광역시,서구,길,구덕로194번길,주도로,134,6
부산광역시,서구,길,구덕로199번길,주도로,310,9
부산광역시,서구,길,구덕로200번길,주도로,105,9
부산광역시,서구,길,구덕로214번길,주도로,98,6
부산광역시,서구,길,구덕로222번길,주도로,98,6
부산광역시,서구,길,구덕로226번길,주도로,98,7
부산광역시,서구,길,구덕로232번길,주도로,99,8
부산광역시,서구,길,구덕로238번길,주도로,99,7
부산광역시,서구,길,구덕로244번길,주도로,119,8
부산광역시,서구,길,구덕로249번길,주도로,283,6
부산광역시,서구,길,구덕로250번길,주도로,154,7
부산광역시,서구,길,구덕로265번길,주도로,192,6
부산광역시,서구,길,구덕로268번길,주도로,314,6
부산광역시,서구,길,구덕로274번길,주도로,348,6
부산광역시,서구,길,구덕로279번길,주도로,148,6
부산광역시,서구,길,구덕로280번길,주도로,370,6
부산광역시,서구,길,구덕로285번길,주도로,158,6
부산광역시,서구,길,구덕로286번길,주도로,380,7
부산광역시,서구,길,구덕로295번길,주도로,261,6
부산광역시,서구,길,구덕로296번길,주도로,384,9
부산광역시,서구,길,구덕로301번길,주도로,267,6
부산광역시,서구,길,구덕로305번길,주도로,330,6
부산광역시,서구,길,구덕로315번길,주도로,395,6
부산광역시,서구,길,구덕로321번길,주도로,416,7
부산광역시,서구,길,구덕로322번길,주도로,381,7
부산광역시,서구,길,구덕로327번길,주도로,342,6
부산광역시,서구,길,구덕로328번길,주도로,354,6
부산광역시,서구,길,구덕로333번길,주도로,276,6
부산광역시,서구,길,구덕로334번길,주도로,133,6
부산광역시,서구,길,구덕로339번길,주도로,205,6
부산광역시,서구,길,구덕로340번길,주도로,275,6
부산광역시,서구,길,구덕로345번길,주도로,146,5
부산광역시,서구,길,구덕로346번길,주도로,247,6
부산광역시,서구,로,까치고개로,주도로,2570,15
부산광역시,서구,길,까치고개로103번길,주도로,211,5
부산광역시,서구,길,까치고개로108번가길,주도로,85,2
부산광역시,서구,길,까치고개로108번길,주도로,172,3
부산광역시,서구,길,까치고개로110번길,주도로,136,2
부산광역시,서구,길,까치고개로111번길,주도로,123,4
부산광역시,서구,길,까치고개로128번가길,주도로,285,3
부산광역시,서구,길,까치고개로128번길,주도로,268,3
부산광역시,서구,길,까치고개로130번길,주도로,174,2
부산광역시,서구,길,까치고개로137번길,주도로,169,3
부산광역시,서구,길,까치고개로151번길,주도로,271,2
부산광역시,서구,길,까치고개로152번길,주도로,125,2
부산광역시,서구,길,까치고개로154번길,주도로,399,2
부산광역시,서구,길,까치고개로160번가길,주도로,141,2
부산광역시,서구,길,까치고개로160번길,주도로,282,7
부산광역시,서구,길,까치고개로167번길,주도로,233,2
부산광역시,서구,길,까치고개로180번길,주도로,75,2
부산광역시,서구,길,까치고개로197번길,주도로,304,7
부산광역시,서구,길,까치고개로198번길,주도로,130,8
부산광역시,서구,길,까치고개로208번길,주도로,218,8
부산광역시,서구,길,까치고개로229번길,주도로,308,10
부산광역시,서구,길,까치고개로233번길,주도로,218,8
부산광역시,서구,길,까치고개로239번길,주도로,160,8
부산광역시,서구,길,까치고개로245번길,주도로,137,9
부산광역시,서구,길,까치고개로97번길,주도로,251,3
부산광역시,서구,길,까치고개로99번길,주도로,200,3
부산광역시,서구,로,꽃마을로,주도로,1692,26
부산광역시,서구,길,꽃마을로156번길,주도로,847,11
부산광역시,서구,길,꽃마을로163번길,주도로,1352,6
부산광역시,서구,길,꽃마을로169번길,주도로,629,4
부산광역시,서구,길,꽃마을로29번길,주도로,288,7
부산광역시,서구,길,꽃마을로57번길,주도로,174,2
부산광역시,서구,길,꽃마을로65번길,주도로,118,3
부산광역시,서구,길,꽃마을로87번길,주도로,113,3
부산광역시,서구,대로,낙동대로,주도로,17497,44
부산광역시,서구,길,낙동대로9번길,주도로,151,6
부산광역시,서구,로,남부민로,주도로,518,9
부산광역시,서구,길,남부민로10번길,주도로,225,8
부산광역시,서구,길,남부민로12번길,주도로,353,5
부산광역시,서구,길,남부민로37번길,주도로,67,2
부산광역시,서구,길,남부민로40번길,주도로,360,2
부산광역시,서구,길,남부민로44번길,주도로,181,3
부산광역시,서구,길,남부민로49번길,주도로,70,2
부산광역시,서구,길,남부민로62번길,주도로,90,2
부산광역시,서구,길,남부민로67번길,주도로,170,3
부산광역시,서구,길,남부민로69번길,주도로,209,2
부산광역시,서구,길,남부민로78번길,주도로,72,2
부산광역시,서구,로,대신공원로,주도로,471,8
부산광역시,서구,로,대신로,주도로,789,8
부산광역시,서구,길,대신로109번길,주도로,159,9
부산광역시,서구,길,대신로45번길,주도로,163,5
부산광역시,서구,길,대신로57번길,주도로,168,3
부산광역시,서구,길,대신숲길,주도로,2710.243,3
부산광역시,서구,길,대영고가도로,주도로,408.757,9.26
부산광역시,서구,로,대영로,주도로,2360,30
부산광역시,서구,길,대영로105번길,주도로,150,7
부산광역시,서구,길,대영로111번길,주도로,248,6
부산광역시,서구,길,대영로112번길,주도로,376,11
부산광역시,서구,길,대영로18번길,주도로,125,6
부산광역시,서구,길,대영로27번길,주도로,357,8
부산광역시,서구,길,대영로30번길,주도로,125,6
부산광역시,서구,길,대영로38번길,주도로,258,6
부산광역시,서구,길,대영로45번길,주도로,540,7
부산광역시,서구,길,대영로46번길,주도로,118,7
부산광역시,서구,길,대영로6번길,주도로,125,4
부산광역시,서구,길,대영로73번길,주도로,605,8
부산광역시,서구,길,대영로74번길,주도로,333,8
부산광역시,서구,길,대영로85번길,주도로,478,9
부산광역시,서구,길,대영로86번길,주도로,381,9
부산광역시,서구,길,대영로89번길,주도로,248,7
부산광역시,서구,길,대영로90번길,주도로,265,6
부산광역시,서구,로,대청로,주도로,1580,25
부산광역시,서구,길,대청로6번길,주도로,236,8
부산광역시,서구,로,대티로,주도로,1875,14
부산광역시,서구,길,대티로107번길,주도로,316,5
부산광역시,서구,길,대티로108번길,주도로,217,8
부산광역시,서구,길,대티로109번길,주도로,102,1
부산광역시,서구,길,대티로115번길,주도로,73,7
부산광역시,서구,길,대티로133번길,주도로,91,3
부산광역시,서구,길,대티로134번길,주도로,10.9,4
부산광역시,서구,길,대티로135번길,주도로,64,3
부산광역시,서구,길,대티로143번길,주도로,70,2
부산광역시,서구,길,대티로161번길,주도로,443,6
부산광역시,서구,길,대티로163번가길,주도로,83,2
부산광역시,서구,길,대티로163번길,주도로,111,7
부산광역시,서구,길,대티로179번길,주도로,258,6
부산광역시,서구,로,동대로,주도로,345,7
부산광역시,서구,길,동대로19번길,주도로,243,9
부산광역시,서구,로,등대로,주도로,1291,20
부산광역시,서구,로,망양로,주도로,10068,12
부산광역시,서구,길,망양로111번길,주도로,320,2
부산광역시,서구,길,망양로112번길,주도로,243,2
부산광역시,서구,길,망양로113번길,주도로,161,6
부산광역시,서구,길,망양로11번길,주도로,120,2
부산광역시,서구,길,망양로120번길,주도로,249,4
부산광역시,서구,길,망양로127번길,주도로,56,3
부산광역시,서구,길,망양로131번길,주도로,42,3
부산광역시,서구,길,망양로144번길,주도로,103,3
부산광역시,서구,길,망양로150번길,주도로,98,5
부산광역시,서구,길,망양로154번길,주도로,122,4
부산광역시,서구,길,망양로159번길,주도로,109,4
부산광역시,서구,길,망양로162번길,주도로,151,2
부산광역시,서구,길,망양로170번길,주도로,164,2
부산광역시,서구,길,망양로174번길,주도로,248,3
부산광역시,서구,길,망양로175번길,주도로,97,6
부산광역시,서구,길,망양로183번길,주도로,103,5
부산광역시,서구,길,망양로193번길,주도로,740,6
부산광역시,서구,길,망양로194번길,주도로,122,2
부산광역시,서구,길,망양로195번길,주도로,40,3
부산광역시,서구,길,망양로204번길,주도로,65,2
부산광역시,서구,길,망양로205번가길,주도로,124,3
부산광역시,서구,길,망양로205번길,주도로,132,3
부산광역시,서구,길,망양로205번나길,주도로,151,4
부산광역시,서구,길,망양로205번다길,주도로,79,2
부산광역시,서구,길,망양로205번라길,주도로,86,2
부산광역시,서구,길,망양로205번마길,주도로,92,3
부산광역시,서구,길,망양로207번길,주도로,126,4
부산광역시,서구,길,망양로213번길,주도로,68,3
부산광역시,서구,길,망양로217번길,주도로,64,4
부산광역시,서구,길,망양로21번길,주도로,124,7
부산광역시,서구,길,망양로221번길,주도로,140,3
부산광역시,서구,길,망양로222번길,주도로,46,3
부산광역시,서구,길,망양로228번길,주도로,52,2
부산광역시,서구,길,망양로242번길,주도로,57,2
부산광역시,서구,길,망양로33번길,주도로,159,5
부산광역시,서구,길,망양로92번길,주도로,415,8
부산광역시,서구,길,민주공원길,주도로,600,8
부산광역시,서구,길,보동길,주도로,1860,6
부산광역시,서구,길,보동길159번길,주도로,70,2
부산광역시,서구,길,보동길185번길,주도로,108,2
부산광역시,서구,길,보동길201번길,주도로,66,3
부산광역시,서구,길,보동길209번길,주도로,97,3
부산광역시,서구,길,보동길223번길,주도로,84,2
부산광역시,서구,길,보동길275번길,주도로,103,6
부산광역시,서구,길,보동길278번길,주도로,83,3
부산광역시,서구,길,보동길287번길,주도로,96,2
부산광역시,서구,길,보동길311번길,주도로,73,2
부산광역시,서구,길,보동길327번길,주도로,117,7
부산광역시,서구,길,보동길337번길,주도로,91,4
부산광역시,서구,길,보동길347번길,주도로,76,2
부산광역시,서구,대로,보수대로,주도로,5540,50
부산광역시,서구,길,보수대로154번길,주도로,346,7
부산광역시,서구,길,보수대로184번길,주도로,184,7
부산광역시,서구,길,보수대로188번길,주도로,250,9
부산광역시,서구,길,보수대로189번길,주도로,116,5
부산광역시,서구,길,보수대로193번길,주도로,116,5
