연도,자동차 천대당 교통사고발생건수(건),교통사고발생건수(건),자동차등록대수(대)
2015,5.7,7725,1355207
2016,5.2,7479,1437373
2017,4.5,6766,1510319
2018,4.3,6710,1577607
2019,4.7,7647,1635323
2020,4.4,7373,1676442
2021,4,6728,1675405
2022,4,6707,1692760
2023,3.9,6735,1730839
