구분,발생건수,사망자 수,부상자 수
2007,10304,278,15461
2008,12302,246,18246
2009,14278,276,20207
2010,14052,257,20404
2011,14061,244,20242
2012,14909,251,21607
2013,12773,232,17854
2014,12969,185,18423
2015,12958,194,18311
2016,12428,182,17273
2017,11966,173,16579
2018,12161,139,16925
2019,13250,127,18357
2020,12091,112,16664
2021,11550,118,15880
2022,11133,119,15335
2023,11267,110,15502
2024,11535,109,15707
