시도명,시군구명,도로위계,도로명,종속구분,연장,폭,면적,데이터_출처
부산광역시,서구,길,성산길,주도로,576.0,8.0,4608.0,부산
부산광역시,서구,로,송도해변로,주도로,2059.0,9.0,18531.0,부산
부산광역시,서구,길,송도해변로125번길,주도로,125.0,5.0,625.0,부산
부산광역시,서구,길,송도해변로173번길,주도로,329.0,2.0,658.0,부산
부산광역시,서구,로,시약로,주도로,1273.0,11.0,14003.0,부산
부산광역시,서구,길,시약로109번길,주도로,247.0,2.0,494.0,부산
부산광역시,서구,길,시약로117번길,주도로,108.0,5.0,540.0,부산
부산광역시,서구,길,시약로17번가길,주도로,97.0,3.0,291.0,부산
부산광역시,서구,길,시약로17번길,주도로,141.0,3.0,423.0,부산
부산광역시,서구,길,시약로27번길,주도로,39.0,3.0,117.0,부산
부산광역시,서구,길,시약로5번길,주도로,77.0,7.0,539.0,부산
부산광역시,서구,길,시약로63번길,주도로,103.0,3.0,309.0,부산
부산광역시,서구,길,시약로96번길,주도로,138.0,2.0,276.0,부산
부산광역시,서구,길,시약로97번길,주도로,85.0,3.0,255.0,부산
부산광역시,서구,로,아미로,주도로,743.0,10.0,7430.0,부산
부산광역시,서구,길,아미로128번길,주도로,99.0,3.0,297.0,부산
부산광역시,서구,길,아미로12번길,주도로,128.0,3.0,384.0,부산
부산광역시,서구,길,아미로16번길,주도로,88.0,2.0,176.0,부산
부산광역시,서구,길,아미로24번길,주도로,50.0,2.0,100.0,부산
부산광역시,서구,길,아미로30번길,주도로,373.0,4.0,1492.0,부산
부산광역시,서구,길,아미로34번길,주도로,66.0,2.0,132.0,부산
